program,day,timeSlot,subject,facultyId,facultyName,room
BCA,Monday,9:00-10:00 AM,BCA II SEM (SEC-A) - CA109A4 - PHP LAB,FAC-MR-G-P-DR-M-P-MR-S-K-GR-I-II-III-IV,"Mr.G.P./ Dr.M.P. /Mr.S.K. (Gr.-I, II, III & IV)",BCA II SEM (SEC-A) | Room F316
BCA,Monday,10:00-11:00 AM,BCA II SEM (SEC-A) - CA109A4 - PHP LAB,FAC-MR-G-P-DR-M-P-MR-S-K-GR-I-II-III-IV,"Mr.G.P./ Dr.M.P. /Mr.S.K. (Gr.-I, II, III & IV)",BCA II SEM (SEC-A) | Room F316
BCA,Monday,11:00 AM-12:00 PM,BCA II SEM (SEC-A) - CA109A4 - PHP LAB,FAC-MR-G-P-DR-M-P-MR-S-K-GR-I-II-III-IV,"Mr.G.P./ Dr.M.P. /Mr.S.K. (Gr.-I, II, III & IV)",BCA II SEM (SEC-A) | Room F316
BCA,Monday,12:00-1:00 PM,BCA II SEM (SEC-A) - CA109A4 - PHP LAB,FAC-MR-G-P-DR-M-P-MR-S-K-GR-I-II-III-IV,"Mr.G.P./ Dr.M.P. /Mr.S.K. (Gr.-I, II, III & IV)",BCA II SEM (SEC-A) | Room F316
BCA,Monday,2:00-3:00 PM,BCA II SEM (SEC-A) - MA104A1 - MATHEMATICS - II,FAC-DR-JIT-SARKAR,Dr.Jit Sarkar,BCA II SEM (SEC-A) | Room F316
BCA,Monday,3:00-4:00 PM,BCA II SEM (SEC-A) - CA106A9 - WEB DEVELOPMENT USING PHP,FAC-MR-GAURAV-PRADHAN,Mr.Gaurav Pradhan,BCA II SEM (SEC-A) | Room F316
BCA,Monday,4:00-5:00 PM,BCA II SEM (SEC-A) - CA105A1 - DATABASE MANAGEMENT SYSTEM,FAC-DR-MOUMITA-PRAMANIK,Dr.Moumita Pramanik,BCA II SEM (SEC-A) | Room F316
BCA,Tuesday,9:00-10:00 AM,BCA II SEM (SEC-A) - CA108A4 - DATABASE MANAGEMENT SYSTEM LAB,FAC-DR-M-P-MR-G-P-DR-S-D-MR-V-T-GR-I-II-III-,"Dr.M. P./Mr. G.P./Dr.S.D./Mr.V.T.(Gr-I, II, III & IV)",BCA II SEM (SEC-A) | Room F316
BCA,Tuesday,10:00-11:00 AM,BCA II SEM (SEC-A) - CA108A4 - DATABASE MANAGEMENT SYSTEM LAB,FAC-DR-M-P-MR-G-P-DR-S-D-MR-V-T-GR-I-II-III-,"Dr.M. P./Mr. G.P./Dr.S.D./Mr.V.T.(Gr-I, II, III & IV)",BCA II SEM (SEC-A) | Room F316
BCA,Tuesday,11:00 AM-12:00 PM,BCA II SEM (SEC-A) - CA108A4 - DATABASE MANAGEMENT SYSTEM LAB,FAC-DR-M-P-MR-G-P-DR-S-D-MR-V-T-GR-I-II-III-,"Dr.M. P./Mr. G.P./Dr.S.D./Mr.V.T.(Gr-I, II, III & IV)",BCA II SEM (SEC-A) | Room F316
BCA,Tuesday,12:00-1:00 PM,BCA II SEM (SEC-A) - CA108A4 - DATABASE MANAGEMENT SYSTEM LAB,FAC-DR-M-P-MR-G-P-DR-S-D-MR-V-T-GR-I-II-III-,"Dr.M. P./Mr. G.P./Dr.S.D./Mr.V.T.(Gr-I, II, III & IV)",BCA II SEM (SEC-A) | Room F316
BCA,Tuesday,3:00-4:00 PM,BCA II SEM (SEC-A) - MA104A1 - MATHEMATICS - II,FAC-DR-JIT-SARKAR,Dr.Jit Sarkar,BCA II SEM (SEC-A) | Room F316
BCA,Tuesday,4:00-5:00 PM,BCA II SEM (SEC-A) - CA152A2 - STATISTICAL FOUNDATIONS OF DATA SCIENCE (MINOR OF DS) / CA158A2 - FUNDAMENTALS OF SOFT COMPUTING (MINOR OF AI),FAC-MRS-KAPILA-SHARMA-MR-GAURAV-PRADHAN,Mrs.Kapila Sharma / Mr.Gaurav Pradhan,BCA II SEM (SEC-A) | Room F316
BCA,Wednesday,10:00-11:00 AM,BCA II SEM (SEC-A) - CA107A3 - UNIVERSAL HUMAN VALUES (ONLINE),FAC-MRS-KAPILA-SHARMA,Mrs.Kapila Sharma,BCA II SEM (SEC-A) | Room F316
BCA,Wednesday,12:00-1:00 PM,BCA II SEM (SEC-A) - CA152A2 - STATISTICAL FOUNDATIONS OF DATA SCIENCE (MINOR OF DS) / CA158A2 - FUNDAMENTALS OF SOFT COMPUTING (MINOR OF AI),FAC-MRS-KAPILA-SHARMA-MR-GAURAV-PRADHAN,Mrs.Kapila Sharma / Mr.Gaurav Pradhan,BCA II SEM (SEC-A) | Room F316
BCA,Wednesday,2:00-3:00 PM,BCA II SEM (SEC-A) - MA104A1 - MATHEMATICS - II,FAC-DR-JIT-SARKAR,Dr.Jit Sarkar,BCA II SEM (SEC-A) | Room F316
BCA,Wednesday,3:00-4:00 PM,BCA II SEM (SEC-A) - CA106A9 - WEB DEVELOPMENT USING PHP,FAC-MR-GAURAV-PRADHAN,Mr.Gaurav Pradhan,BCA II SEM (SEC-A) | Room F316
BCA,Wednesday,4:00-5:00 PM,BCA II SEM (SEC-A) - CA105A1 - DATABASE MANAGEMENT SYSTEM,FAC-DR-MOUMITA-PRAMANIK,Dr.Moumita Pramanik,BCA II SEM (SEC-A) | Room F316
BCA,Thursday,12:00-1:00 PM,BCA II SEM (SEC-A) - CA106A9 - WEB DEVELOPMENT USING PHP,FAC-MR-GAURAV-PRADHAN,Mr.Gaurav Pradhan,BCA II SEM (SEC-A) | Room F316
BCA,Thursday,3:00-4:00 PM,BCA II SEM (SEC-A) - CA152A2 - STATISTICAL FOUNDATIONS OF DATA SCIENCE (MINOR OF DS) / CA158A2 - FUNDAMENTALS OF SOFT COMPUTING (MINOR OF AI),FAC-MRS-KAPILA-SHARMA-MR-GAURAV-PRADHAN,Mrs.Kapila Sharma / Mr.Gaurav Pradhan,BCA II SEM (SEC-A) | Room F316
BCA,Thursday,4:00-5:00 PM,BCA II SEM (SEC-A) - CA105A1 - DATABASE MANAGEMENT SYSTEM,FAC-DR-MOUMITA-PRAMANIK,Dr.Moumita Pramanik,BCA II SEM (SEC-A) | Room F316
BCA,Friday,10:00-11:00 AM,BCA II SEM (SEC-A) - CA106A9 - WEB DEVELOPMENT USING PHP,FAC-MR-GAURAV-PRADHAN,Mr.Gaurav Pradhan,BCA II SEM (SEC-A) | Room F316
BCA,Friday,12:00-1:00 PM,BCA II SEM (SEC-A) - MA104A1 - MATHEMATICS - II,FAC-DR-JIT-SARKAR,Dr.Jit Sarkar,BCA II SEM (SEC-A) | Room F316
BCA,Friday,2:00-3:00 PM,BCA II SEM (SEC-A) - CA105A1 - DATABASE MANAGEMENT SYSTEM,FAC-DR-MOUMITA-PRAMANIK,Dr.Moumita Pramanik,BCA II SEM (SEC-A) | Room F316
BCA,Friday,3:00-4:00 PM,BCA II SEM (SEC-A) - CA152A2 - STATISTICAL FOUNDATIONS OF DATA SCIENCE (MINOR OF DS) / CA158A2 - FUNDAMENTALS OF SOFT COMPUTING (MINOR OF AI),FAC-MRS-KAPILA-SHARMA-MR-GAURAV-PRADHAN,Mrs.Kapila Sharma / Mr.Gaurav Pradhan,BCA II SEM (SEC-A) | Room F316
BCA,Saturday,9:00-10:00 AM,BCA II SEM (SEC-A) - Project Based Learning,FAC-PBL-COORDINATOR-MR-SIMANTA-KALITA-GUIDES,PBL Coordinator - Mr.Simanta Kalita / Guides,BCA II SEM (SEC-A) | Room F316
BCA,Saturday,10:00-11:00 AM,BCA II SEM (SEC-A) - Project Based Learning,FAC-PBL-COORDINATOR-MR-SIMANTA-KALITA-GUIDES,PBL Coordinator - Mr.Simanta Kalita / Guides,BCA II SEM (SEC-A) | Room F316
BCA,Saturday,11:00 AM-12:00 PM,BCA II SEM (SEC-A) - Project Based Learning,FAC-PBL-COORDINATOR-MR-SIMANTA-KALITA-GUIDES,PBL Coordinator - Mr.Simanta Kalita / Guides,BCA II SEM (SEC-A) | Room F316
BCA,Saturday,12:00-1:00 PM,BCA II SEM (SEC-A) - Project Based Learning,FAC-PBL-COORDINATOR-MR-SIMANTA-KALITA-GUIDES,PBL Coordinator - Mr.Simanta Kalita / Guides,BCA II SEM (SEC-A) | Room F316
BCA,Monday,9:00-10:00 AM,BCA II SEM (SEC-B) - CA109A4 - PHP LAB,FAC-MR-G-P-DR-M-P-MR-S-K-GR-I-II-III-IV,"Mr.G.P./ Dr.M.P. /Mr.S.K. (Gr.-I, II, III & IV)",BCA II SEM (SEC-B) | Room A310
